人物类型,人物类型排序,中文名称,英文名称,任期开始年份,任期结束年份,任期时长,主要故事,重要度评分,重要度评分原因,信仰状态评分,信仰状态评分原因,相关书卷,被提及次数
2-士师,5,基甸,Gideon,-1191,-1151,40年,击败米甸人，带来40年和平,8.5 ,带领以色列击败米甸人，神通过他减少军队数量显示神的能力,4.4 ,从怀疑到坚定信仰，顺服神的指示,士师记,44
2-士师,6,陀拉,Tola,-1149,-1129,20年,领导以色列20年,6.0 ,担任士师23年，稳定以色列的局势,3.7 ,虽未有显著事迹，但保持信仰,士师记,2
2-士师,7,睚珥,Jair,-1126,-1105,22年,领导以色列22年,6.0 ,担任士师22年，拥有30个儿子，治理以色列,3.6 ,保持信仰，治理以色列,士师记,2
2-士师,8,耶弗他,Jephthah,-1087,-1081,6年,击败亚扪人，许愿献女儿,7.0 ,带领以色列击败亚扪人，因轻率誓言献上女儿,4.0 ,对神有坚定信仰，但轻率誓言带来悲剧,士师记,28
2-士师,9,以比赞,Ibzan,-1080,-1072,8年,领导以色列8年,6.0 ,担任士师7年，有30个儿子和30个女儿,3.7 ,治理以色列，保持信仰,士师记,2
2-士师,10,以伦,Elon,-1072,-1062,10年,领导以色列10年,6.0 ,担任士师10年，平稳治理,3.6 ,保持信仰，平稳治理以色列,士师记,2
2-士师,11,押顿,Abdon,-1062,-1055,8年,领导以色列8年,6.0 ,担任士师8年，有40个儿子和30个孙子,3.6 ,保持信仰，治理以色列,士师记,2
2-士师,12,参孙,Samson,-1075,-1055,20年,击败非利士人，最终推倒庙宇自杀,8.5 ,力大无穷，拯救以色列脱离非利士人的压迫,4.2 ,尽管有弱点，但最终对神忠诚，献身于神的旨意,士师记,39
2-士师,13,以利,Eli,-1150,-1104,40年,监督以色列，训练撒母耳,7.0 ,担任士师和祭司，辅导撒母耳,3.8 ,虽有信仰，但未能约束儿子导致家族和职位的毁灭,撒母耳记上,29
3-先知(次要),21,迦得 ,Gad ,-1010,-970,40年,告诉大卫不要住在摩押地，命令大卫建立祭坛以停止瘟疫,6.0 ,大卫时期的先知，给予大卫指引,3.5 ,忠于大卫，传达神的旨意,撒母耳记下&历代志上,11
3-先知(次要),22,亚希雅 ,Ahijah ,-930,-900,30年,预言所罗门王国将被分裂，耶罗波安成为以色列王,6.5 ,分裂王国时期的先知，预言以色列的分裂,3.6 ,忠实传递神的审判信息,列王记上,7
3-先知(次要),23,耶户 ,Jehu ,-850,-820,30年,预言巴沙的灭亡，警告以色列的罪行,6.0 ,预言以色列王室的灭亡,3.5 ,忠于神的审判和旨意,列王记上,5
3-先知(次要),24,哈拿尼 ,Hanani ,-900,-870,30年,警告亚撒王依靠亚兰王而非神，遭监禁,6.0 ,斥责犹大王亚撒，预言战败,3.5 ,坚定的信仰和对神审判的信心,历代志下,3
3-先知(次要),25,以多 ,Iddo ,-900,-870,30年,记录所罗门和罗波安的事迹，预言耶罗波安的命运,5.5 ,所罗门时期的先知，预言犹大的未来,3.4 ,对神旨意的顺服和信心,历代志下,4
3-先知(次要),26,米该雅 ,Micaiah ,-850,-830,20年,预言亚哈王在基列的战役中失败和死亡,7.0 ,预言亚哈的失败，坚持真理,4.0 ,勇于直言，面对威胁不退缩,列王记上,8
3-先知(次要),27,撒迦利亚(耶何耶大的儿子),"Zechariah, son of Jehoiada ",-835,-800,35年,谴责约阿施王对神的不忠，被石头打死,6.5 ,预言犹大的背叛，被杀害,3.8 ,忠诚于神，面对死亡不退缩,历代志下,3
3-先知(次要),28,约珥 ,Joel ,-835,-800,35年,预言蝗灾和神的审判，呼吁以色列悔改,7.5 ,预言神的审判和恢复，强调悔改和复兴,4.1 ,对神的审判和慈爱的坚定信仰,约珥书,5
3-先知(次要),29,俄巴底亚 ,Obadiah ,-850,-840,10年,预言以东的灭亡，呼吁犹大信靠神,6.5 ,预言以东的毁灭和以色列的复兴,3.8 ,忠实传达神对以东的审判信息,俄巴底亚书,1
3-先知(次要),30,乌利亚 ,Uriah ,-626,-600,26年,支持耶利米的预言，被约雅敬王杀害,6.0 ,在耶利米时代的先知，预言耶路撒冷的毁灭,3.5 ,忠于神的审判信息,耶利米书,1
3-先知(次要),31,西番雅(约西亚时代的先知),Zephaniah during Josiah's reign ,-640,-609,31年,预言审判日，呼吁犹大悔改,7.0 ,预言犹大的毁灭和复兴，强调神的审判,3.9 ,对神的审判和复兴的信心,西番雅书,7
3-先知(次要),32,哈拿尼的儿子哈拿尼亚 ,"Hananiah, son of Azur ",-593,-570,23年,预言巴比伦被击败，遭耶利米责备,5.5 ,预言巴比伦的崩溃，但被耶利米斥责为假先知,3.2 ,被揭露为假先知，信仰状态低,耶利米书,1
3-先知(次要),33,玛基雅的儿子玛基雅 ,"Maaseiah, son of Zephaniah ",-626,-600,26年,支持耶利米的预言，帮助保存预言书卷,5.5 ,在亚哈时期的先知，预言失败,3.3 ,对神旨意的传达不坚定,耶利米书,2
3-先知(主要),1,摩西 ,Moses ,-1446,-1406,40年,带领以色列人出埃及，颁布十诫，40年旷野漂流,10.0 ,带领以色列人出埃及，颁布十诫，对犹太教和基督教影响深远,5.0 ,与神直接交流，信仰坚定,出埃及记&利未记&民数记&申命记,767
3-先知(主要),2,约书亚 ,Joshua ,-1406,-1390,16年,过约旦河，攻占耶利哥，分配迦南地,8.0 ,继承摩西领导，以色列人进入应许之地,4.5 ,坚定的信心与领导力,约书亚记,216
3-先知(主要),3,撒母耳 ,Samuel ,-1050,-1000,50年,膏立扫罗为王，膏立大卫为王，治理以色列,9.0 ,立王的重要人物，见证并辅佐扫罗和大卫,4.5 ,先知和士师，神的忠实仆人,撒母耳记上&撒母耳记下,142
3-先知(主要),4,拿单 ,Nathan ,-1000,-970,30年,责备大卫与拔示巴的事件，支持所罗门继位,7.5 ,大卫时期的先知，纠正大卫的过错,4.0 ,勇于直言，忠于神的使命,撒母耳记下,42
3-先知(主要),5,以利亚 ,Elijah ,-875,-848,27年,加密山上挑战巴力先知，复活寡妇之子，被旋风接走,9.5 ,挑战拜偶像的亚哈王，彰显神的大能,4.8 ,强烈的信仰和勇气,列王记上&列王记下,102
3-先知(主要),6,以利沙 ,Elisha ,-848,-797,51年,治愈乃缦的麻风，复活书念妇人的儿子，多次拯救以色列,9.0 ,以利亚的继承人，行了许多神迹,4.5 ,强大的信仰和神迹,列王记下,58
3-先知(主要),7,约拿 ,Jonah ,-785,-760,25年,被大鱼吞噬，尼尼微的悔改,7.0 ,被神派往尼尼微传道，最终城市悔改,3.5 ,虽有抗拒，但最终顺服神的旨意,约拿书,19
3-先知(主要),8,阿摩司 ,Amos ,-760,-750,10年,预言以色列的灭亡，强调社会正义,7.5 ,预言以色列的社会不公，呼吁悔改,4.0 ,坚持正义和对神的忠诚,阿摩司书,10
3-先知(主要),9,何西阿 ,Hosea ,-750,-715,35年,娶妓女歌篾，象征以色列的不忠,8.0 ,用自己的婚姻象征以色列的背叛和神的爱,4.2 ,展示了对神命令的绝对顺服,何西阿书,6
3-先知(主要),10,以赛亚 ,Isaiah ,-740,-681,59年,预言弥赛亚的降临，责备以色列的罪恶，西拿基立围困耶路撒冷时的信心,9.5 ,预言弥赛亚的来临和救赎，书卷丰富,4.8 ,对神的异象和启示忠诚,以赛亚书,81
3-先知(主要),11,弥迦 ,Micah ,-740,-700,40年,预言弥赛亚出生在伯利恒，呼吁社会正义,7.5 ,预言弥赛亚出生在伯利恒，呼吁社会公义,4.0 ,坚定的信仰和对正义的呼唤,弥迦书,15
3-先知(主要),12,那鸿 ,Nahum ,-663,-612,51年,预言尼尼微的毁灭,6.5 ,预言尼尼微的毁灭，强调神的公义,3.8 ,对神的公义和审判的信心,那鸿书,3
3-先知(主要),13,哈巴谷 ,Habakkuk ,-620,-605,15年,对神的公义提出疑问，预言迦勒底人的入侵,7.0 ,质疑神的作为，但最终相信神的公义和慈爱,4.0 ,从疑惑到坚定信仰的过程,哈巴谷书,3
3-先知(主要),14,西番雅 ,Zephaniah ,-640,-609,31年,预言审判日，呼吁犹大悔改,7.0 ,预言耶路撒冷的毁灭和恢复，强调神的审判和怜悯,3.9 ,坚定的信仰和对神旨意的信任,西番雅书,7
3-先知(主要),15,耶利米 ,Jeremiah ,-626,-586,40年,预言耶路撒冷的毁灭，呼吁悔改，耶路撒冷陷落时的哀歌,9.0 ,预言耶路撒冷的毁灭和70年后的复兴,4.7 ,忠诚于神，面对迫害不动摇,耶利米书&耶利米哀歌,147
3-先知(主要),16,以西结 ,Ezekiel ,-593,-571,22年,预言耶路撒冷的毁灭，干骨复生的异象,8.5 ,预言以色列的复兴和新圣殿的建造,4.5 ,坚定的信仰和对神异象的忠实传达,以西结书,64
3-先知(主要),17,但以理 ,Daniel ,-605,-536,69年,解释尼布甲尼撒的梦，狮子坑中的奇迹，预言未来的国度,9.0 ,解释王的梦，预言末世，受到神的特别眷顾,4.7 ,忠于信仰，坚定不移，即使在异邦,但以理书,80
3-先知(主要),18,哈该 ,Haggai ,-520,-515,5年,鼓励以色列人重建圣殿,7.5 ,鼓励以色列人重建圣殿，恢复宗教生活,4.2 ,激励人民信仰，重建敬拜神的场所,哈该书,2
3-先知(主要),19,撒迦利亚 ,Zechariah ,-520,-480,40年,鼓励重建圣殿，预言弥赛亚的降临,8.0 ,预言弥赛亚的来临和圣殿的重建,4.4 ,坚定信仰，传递神的希望和安慰,撒迦利亚书,38
3-先知(主要),20,玛拉基 ,Malachi ,-460,-430,30年,呼吁宗教改革，预言以利亚的再来,8.0 ,最后一位旧约先知，预言弥赛亚的先驱,4.3 ,对神的信仰和对弥赛亚的期待,玛拉基书,4
4-国王(统一王国),1,扫罗,Saul,-1050,-1010,40年,成为以色列的第一任国王，由先知撒母耳膏立；带领以色列对抗非利士人；因违背神的命令而被神弃绝，后在与非利士人的战斗中自杀,8.0 ,以色列的第一位国王，统一了部落并建立了王国的基础,3.5 ,最初对神忠诚，但后来骄傲自大，违背神的命令，导致神的弃绝,撒母耳记上&撒母耳记下&历代志上,132
4-国王(统一王国),2,大卫,David,-1010,-970,40年,被撒母耳膏立为王，在战胜巨人歌利亚后声名鹊起；成为以色列统一的第二任国王，建立耶路撒冷为首都；扩展以色列的疆域，制定了许多宗教和行政制度,10.0 ,被神选为第二位国王，统一以色列，建立了耶路撒冷为首都,4.8 ,尽管犯过大罪，但真心悔改，被称为“合神心意的人”,撒母耳记上&撒母耳记下&列王记上&历代志上&历代志下&诗篇等,1000
4-国王(统一王国),3,所罗门,Solomon,-970,-931,40年,大卫的儿子，以智慧著称；建造了耶路撒冷的第一圣殿；他的统治时期是以色列的黄金时代，但晚年因崇拜外邦神灵导致国家分裂,9.5 ,大卫之子，建造了第一圣殿，使以色列达到鼎盛时期,4.2 ,最初对神忠诚，赐予大智慧，但晚年受外邦妻子的影响而敬拜偶像,撒母耳记下&列王记上&历代志上&历代志下&箴言&传道书&雅歌,272
4-国王(以色列),1,耶罗波安一世,JeroboamI,-931,-910,22年,带领北部十个支派分裂建立以色列王国；建立金牛犊崇拜以取代耶路撒冷的圣殿敬拜,8.0 ,首任北国以色列王，导致王国分裂,(3.0),离弃神，设立金牛犊敬拜，引导百姓拜偶像,列王记上&列王记下&历代志上&历代志下,97
4-国王(以色列),2,拿答,Nadab,-910,-909,2年,耶罗波安一世的儿子，被巴沙杀害,6.0 ,耶罗波安之子，短暂统治后被巴沙谋杀,(3.0),延续父亲的偶像崇拜，未对神忠诚,列王记上,10
4-国王(以色列),3,巴沙,Baasha,-909,-886,24年,弑拿答自立为王，持续与犹大国作战,6.5 ,谋杀拿答成为国王，建立新的王朝,(3.2),延续偶像崇拜，未对神忠诚,列王记上&列王记下&历代志上&历代志下,27
4-国王(以色列),4,以拉,Elah,-886,-885,2年,巴沙的儿子，被心利杀害,6.0 ,巴沙之子，因酒醉被心利杀害,(3.0),延续偶像崇拜，未对神忠诚,列王记上,7
4-国王(以色列),5,心利,Zimri,-885,-885,7天,弑以拉自立为王，七天后被暗利推翻，自焚而死,5.5 ,谋杀以拉，短暂统治七天后自杀,(3.0),延续偶像崇拜，未对神忠诚,列王记上,14
4-国王(以色列),6,暗利,Omri,-885,-874,12年,建立撒马利亚为首都，巩固以色列的政治和军事力量,7.5 ,建立撒马利亚为首都，军事和政治能力较强,(3.5),延续并加深偶像崇拜，未对神忠诚,列王记上&列王记下,16
4-国王(以色列),7,亚哈,Ahab,-874,-853,22年,暗利的儿子，与腓尼基公主耶洗别结婚，引入巴力崇拜；在迦密山与先知以利亚对峙，遭遇干旱和战争,8.5 ,以色列最恶劣的国王之一，与耶洗别结婚，支持巴力崇拜,(4.5),强烈的偶像崇拜，迫害神的先知，以利亚对他的谴责,列王记上&列王记下,90
4-国王(以色列),8,亚哈谢,Ahaziah,-853,-852,2年,亚哈的儿子，继续崇拜巴力，死于事故,6.5 ,亚哈之子，短暂统治，延续父亲的偶像崇拜,(4.0),延续父亲的偶像崇拜，未对神忠诚,列王记上&列王记下,28
4-国王(以色列),9,约兰,Joram或Jehoram,-852,-841,12年,亚哈谢的弟弟，联合犹大王约沙法对抗摩押人,6.5 ,亚哈的另一个儿子，延续偶像崇拜，但有所减少,(3.8),虽有小改，但仍未对神忠诚,列王记下&历代志上,34
4-国王(以色列),10,耶户,Jehu,-841,-814,28年,被先知以利沙膏立，发动政变推翻亚哈家族，清除巴力崇拜,8.0 ,杀死亚哈家族，清除巴力崇拜，但未完全归向神,(2.5),虽消灭巴力崇拜，但未完全离弃偶像崇拜,列王记上&列王记下,58
4-国王(以色列),11,约哈斯,Jehoahaz,-814,-798,17年,耶户的儿子，在亚兰王哈薛的压迫下，向神呼求帮助,6.0 ,耶户之子，统治期间遭受亚兰的压迫,(3.2),延续偶像崇拜，未对神忠诚,列王记下&历代志上,23
4-国王(以色列),12,约阿施,Jehoash或Joash,-798,-782,16年,约哈斯的儿子，与先知以利沙合作，击败亚兰人,6.5 ,约哈斯之子，继续与亚兰作战，恢复部分领土,(3.0),延续偶像崇拜，但在以利沙死前对神显示出一定的信仰,列王记下&历代志上&历代志下,28
4-国王(以色列),13,耶罗波安二世,JeroboamII,-793,-753,41年,约阿施的儿子，恢复以色列的疆域，经济繁荣但道德败坏,7.5 ,以色列国势最强盛时期的国王，恢复了以色列的边界,(3.0),延续偶像崇拜，未对神忠诚,列王记下,16
4-国王(以色列),14,撒迦利亚,Zechariah,-753,-752,6个月,耶罗波安二世的儿子，统治短暂，被沙龙刺杀,5.5 ,耶罗波安二世之子，统治六个月后被沙龙谋杀,(3.2),延续偶像崇拜，未对神忠诚,列王记下,10
4-国王(以色列),15,沙龙,Shallum,-752,-752,1个月,弑杀撒迦利亚后自立为王，被米拿现杀害，在位一个月,5.5 ,谋杀撒迦利亚后统治一个月，被米拿现杀害,(3.0),短暂统治，无显著宗教改革,列王记下,8
4-国王(以色列),16,米拿现,Menahem,-752,-742,10年,稳定国内局势，向亚述王提格拉特-毗列色三世进贡,6.0 ,暴力夺取王位，统治十年,(3.2),延续偶像崇拜，未对神忠诚,列王记下,17
4-国王(以色列),17,比加辖,Pekahiah,-742,-740,2年,米拿现的儿子，被比加杀害,5.5 ,米拿现之子，被比加谋杀,(3.0),延续偶像崇拜，未对神忠诚,列王记下,10
4-国王(以色列),18,比加,Pekah,-752,-732,20年,弑比加辖自立为王，与亚兰王联合对抗亚述,6.5 ,谋杀比加辖，统治期间面对亚述威胁,(3.0),延续偶像崇拜，未对神忠诚,列王记下,24
4-国王(以色列),19,何细亚,Hoshea,-732,-722,9年,最后一个以色列王，被亚述王撒缦以色五世击败，以色列王国灭亡,6.0 ,北国以色列的最后一位国王，被亚述攻灭,(3.0),虽试图反抗亚述，但未对神忠诚,列王记下,14
4-国王(犹大),1,罗波安,Rehoboam,-931,-913,17年,所罗门的儿子，因苛政导致北方十个支派分裂,8.0 ,所罗门之子，南北国分裂的首位南国国王,(2.0),未遵从神的指示，导致分裂，后期悔改但不彻底,列王记上&历代志下,42
4-国王(犹大),2,亚比央,Abijah或Abijam,-913,-911,3年,罗波安的儿子，与北国以色列作战,6.0 ,罗波安之子，统治期间与北国作战,(2.5),延续父亲的不忠，偶像崇拜严重,列王记上&历代志下,16
4-国王(犹大),3,亚撒,Asa,-911,-870,41年,进行宗教改革，废除偶像崇拜，与北国和埃塞俄比亚作战,8.0 ,进行了宗教改革，除掉偶像和祭坛,4.0 ,对神忠诚，改革偶像崇拜，信仰坚定,列王记上&历代志下,58
4-国王(犹大),4,约沙法,Jehoshaphat,-870,-848,25年,亚撒的儿子，加强军事和经济，与北国以色列结盟,8.5 ,强化宗教改革，与北国结盟，提升国家实力,4.5 ,坚定的信仰，建立审判体系，传播神的律法,列王记上&列王记下&历代志下,79
4-国王(犹大),5,约兰,Jehoram或Joram,-848,-841,8年,约沙法的儿子，与北国亚哈家族联姻，实施暴政,6.5 ,约沙法之子，杀害兄弟，迎娶亚哈之女，导致偶像崇拜复兴,(3.5),延续偶像崇拜，未对神忠诚,列王记下&历代志下,26
4-国王(犹大),6,亚哈谢,Ahaziah,-841,-841,1年,约兰的儿子，短暂统治，被耶户所杀,6.0 ,约兰之子，统治短暂，延续偶像崇拜,(3.5),延续偶像崇拜，未对神忠诚,列王记下&历代志下,18
4-国王(犹大),7,亚他利雅,Athaliah,-841,-835,6年,亚哈谢的母亲，耶洗别的女儿，篡位统治，推行巴力崇拜,7.0 ,犹大唯一的女王，亚哈之女，实行暴政，杀害王族成员,(4.0),强烈偶像崇拜，逼迫神的信徒,列王记下&历代志下,17
4-国王(犹大),8,约阿施,Joash或Jehoash,-835,-796,40年,亚他利雅被推翻后登基，在祭司耶何耶大的指导下进行宗教改革,7.5 ,在祭司耶何耶大指导下进行宗教改革，修复圣殿,4.0 ,前期信仰坚定，后期背离神的指示,列王记下&历代志下,48
4-国王(犹大),9,亚玛谢,Amaziah,-796,-767,29年,约阿施的儿子，击败以东但在与以色列的战争中失败,7.0 ,取得对以东的胜利，但后期骄傲自大，与以色列作战,3.5 ,前期对神忠诚，后期因骄傲远离神,列王记下&历代志下,44
4-国王(犹大),10,乌西雅,Uzziah或Azariah,-792,-740,52年,亚玛谢的儿子，军事强盛但晚年因擅自烧香得麻风病,8.0 ,统治期间犹大国力强盛，进行许多建设工作,4.0 ,前期信仰坚定，但因骄傲擅自进入圣殿而被神惩罚,列王记下&历代志下,27
4-国王(犹大),11,约坦,Jotham,-750,-735,16年,乌西雅的儿子，继续父亲的改革和建设,7.5 ,继续父亲乌西雅的建设工作，保持对神的忠诚,4.0 ,对神忠诚，避免了父亲的错误,列王记下&历代志下,20
4-国王(犹大),12,亚哈斯,Ahaz,-735,-715,16年,约坦的儿子，崇拜偶像，向亚述求援对抗亚兰和以色列,6.5 ,进行偶像崇拜，向亚述求援，导致国家的附庸化,(3.5),强烈的偶像崇拜，远离神的指示,列王记下&历代志下&以赛亚书,44
4-国王(犹大),13,希西家,Hezekiah,-715,-686,29年,亚哈斯的儿子，进行宗教改革，抵抗亚述，重建圣殿崇拜,9.0 ,进行彻底宗教改革，反抗亚述，恢复神的敬拜,4.8 ,对神极其忠诚，祈祷得医治，信仰坚定,列王记下&历代志下&以赛亚书,120
4-国王(犹大),14,玛拿西,Manasseh,-697,-642,55年,希西家的儿子，推行偶像崇拜，但晚年悔改,7.5 ,犹大最恶劣的国王之一，推行偶像崇拜，但晚年悔改,(4.5),前期极度不忠，晚年悔改但伤害已造成,列王记下&历代志下&耶利米书,129
4-国王(犹大),15,亚们,Amon,-642,-640,2年,玛拿西的儿子，继续偶像崇拜，被臣仆杀害,6.0 ,玛拿西之子，延续偶像崇拜，被臣仆杀害,(4.0),延续父亲的恶行，未对神忠诚,列王记下&历代志下,16
4-国王(犹大),16,约西亚,Josiah,-640,-609,31年,亚们的儿子，进行宗教改革，恢复律法书，修复圣殿,9.5 ,进行彻底宗教改革，恢复神的律法，修复圣殿,4.8 ,对神极其忠诚，带领全国悔改,列王记下&历代志下&耶利米书,53
4-国王(犹大),17,约哈斯,Jehoahaz,-609,-609,3个月,约西亚的儿子，被埃及法老尼哥二世废黜,6.0 ,统治三个月，被埃及法老尼哥废黜,(3.0),统治时间短，未有显著宗教改革,列王记下&历代志下,12
4-国王(犹大),18,约雅敬,Jehoiakim,-609,-598,11年,约哈斯的兄弟，向巴比伦进贡，但晚年反叛,6.5 ,向埃及和巴比伦进贡，推行偶像崇拜,(3.5),偶像崇拜严重，未对神忠诚,列王记下&历代志下&耶利米书,37
4-国王(犹大),19,约雅斤,Jehoiachin,-598,-597,3个月,约雅敬的儿子，在位短暂，被巴比伦王尼布甲尼撒二世掳走,6.0 ,被巴比伦王尼布甲尼撒俘虏，统治三个月,(3.5),偶像崇拜严重，未对神忠诚,列王记下&历代志下&耶利米书,20
4-国王(犹大),20,西底家,Zedekiah,-597,-586,11年,约雅斤的叔叔，最后一位犹大王，在巴比伦围攻下耶路撒冷被毁,7.0 ,最后一位犹大国王，反抗巴比伦导致国家灭亡,(3.0),尽管尝试反抗，但未对神忠诚，偶像崇拜严重,列王记下&历代志下&耶利米书&以西结书,54
