线路名称,序号,地点名称,地点名称(英文),地点主要信息,主要人物,主要历史事件,地点其他信息,停留开始日期,停留结束日期,停留时间(天/年),相关经文,信息来源,位置信息(经纬度),短评,信仰状态打分
保罗第一次布道,11,以哥念(2次),Iconium (2nd visit),小亚细亚中南部城市,保罗、巴拿巴,返回以哥念，坚固门徒,,不详,不详,不详,徒14:21-22,https://bibleeveryone.com/paul-trip1.php,"37.8746,32.4932",暂无,5
保罗第一次布道,12,彼西底的安提阿(2次),Antioch in Pisidia (2nd visit),小亚细亚的一座城市,保罗、巴拿巴,返回彼西底的安提阿，坚固门徒,,不详,不详,不详,徒14:21-22,https://bibleeveryone.com/paul-trip1.php,"38.3483,30.7641",暂无,5
保罗第一次布道,13,别加(2次),Perga (2nd visit),小亚细亚西南部城市,保罗、巴拿巴,从别加返回安提阿,,不详,不详,不详,徒14:25,https://bibleeveryone.com/paul-trip1.php,"36.8570,30.8543",暂无,5
保罗第一次布道,14,亚大利,Attalia,小亚细亚西南部海港城市,保罗、巴拿巴,从亚大利返回安提阿,,不详,不详,不详,徒14:25-26,https://bibleeveryone.com/paul-trip1.php,"36.8874,30.7079",暂无,5
保罗第一次布道,15,安提阿(终点),Antioch,叙利亚的一个重要城市,保罗、巴拿巴,回到安提阿，向教会报告传道工作,,不详,不详,不详,徒14:26-28,https://bibleeveryone.com/paul-trip1.php,"37.0000,35.3213",暂无,5
保罗第二次布道,1,安提阿(起点),Antioch,叙利亚的一个重要城市,保罗、西拉,教会差派保罗和西拉,,不详,不详,不详,徒15:40-41,https://bibleeveryone.com/paul-trip2.php,"37.0000,35.3213",暂无,5
保罗第二次布道,2,特庇,Derbe,小亚细亚东南部城市,保罗、西拉、提摩太,坚固门徒，提摩太加入,,不详,不详,不详,徒16:1,https://bibleeveryone.com/paul-trip2.php,"37.5847,33.3806",暂无,5
保罗第二次布道,3,路司得,Lystra,小亚细亚中南部城市,保罗、西拉、提摩太,坚固门徒，提摩太加入,,不详,不详,不详,徒16:1-5,https://bibleeveryone.com/paul-trip2.php,"37.6739,32.4790",暂无,5
保罗第二次布道,4,特罗亚,Troas,小亚细亚西海岸城市,保罗、西拉、提摩太、路加,保罗见异象，决定去马其顿,,不详,不详,不详,徒16:8-10,https://bibleeveryone.com/paul-trip2.php,"39.8300,26.6300",暂无,5
保罗第二次布道,5,撒摩特拉,Samothrace,爱琴海中的一个岛屿,保罗、西拉、提摩太,在前往腓立比的途中经过,,不详,不详,不详,徒16:11,https://bibleeveryone.com/paul-trip2.php,"40.4720,25.5248",暂无,5
保罗第二次布道,6,尼亚波利,Neapolis,马其顿东部的一个港口城市,保罗、西拉、提摩太,抵达欧洲大陆的第一站,,不详,不详,不详,徒16:11,https://bibleeveryone.com/paul-trip2.php,"40.9333,24.5667",暂无,5
保罗第二次布道,7,腓立比,Philippi,马其顿东部城市,保罗、西拉、路加,向吕底亚传道，被囚，监狱震动，狱卒信主,,不详,不详,不详,徒16:12-40,https://bibleeveryone.com/paul-trip2.php,"41.0082,24.2898",暂无,5
保罗第二次布道,8,暗非波里,Amphipolis,马其顿中部的一个重要城市,保罗、西拉,传道途中的停留站,,不详,不详,不详,徒17:1,https://bibleeveryone.com/paul-trip2.php,"40.8262,23.8420",暂无,5
保罗第二次布道,9,亚波罗尼亚,Apollonia,马其顿中部的一个城市,保罗、西拉,传道途中的停留站,,不详,不详,不详,徒17:1,https://bibleeveryone.com/paul-trip2.php,"40.6295,22.8889",暂无,5
保罗第二次布道,10,帖撒罗尼迦,Thessalonica,马其顿首都,保罗、西拉,传道，遭犹太人反对,,不详,不详,不详,徒17:1-9,https://bibleeveryone.com/paul-trip2.php,"40.6401,22.9444",暂无,5
保罗第二次布道,11,庇哩亚,Berea,马其顿中部城市,保罗、西拉,传道，庇哩亚人热心研读圣经,,不详,不详,不详,徒17:10-15,https://bibleeveryone.com/paul-trip2.php,"40.6264,22.4516",暂无,5
保罗第二次布道,12,雅典,Athens,希腊首都,保罗,在雅典传道，与哲学家辩论,,不详,不详,不详,徒17:16-34,https://bibleeveryone.com/paul-trip2.php,"37.9838,23.7275",暂无,5
保罗第二次布道,13,哥林多,Corinth,希腊南部城市,保罗、西拉、提摩太,传道，遇见亚居拉和百基拉,,不详,不详,1年6个月,徒18:1-17,https://bibleeveryone.com/paul-trip2.php,"37.9403,22.9533",暂无,5
保罗第二次布道,14,以弗所,Ephesus,小亚细亚西岸城市,保罗,短暂停留，向犹太人传道,,不详,不详,短暂停留,徒18:19-21,https://bibleeveryone.com/paul-trip2.php,"37.9395,27.3420",暂无,5
保罗第二次布道,15,凯撒利亚,Caesarea,巴勒斯坦沿海城市,保罗,返回凯撒利亚,,不详,不详,不详,徒18:22,https://bibleeveryone.com/paul-trip2.php,"32.5000,34.8925",暂无,5
保罗第二次布道,16,耶路撒冷,Jerusalem,犹太的主要城市,保罗,上耶路撒冷问安,,不详,不详,不详,徒18:22,https://bibleeveryone.com/paul-trip2.php,"31.7683,35.2137",暂无,5
保罗第二次布道,17,安提阿(终点),Antioch,叙利亚的一个重要城市,保罗,回到安提阿，结束第二次布道旅行,,不详,不详,不详,徒18:22,https://bibleeveryone.com/paul-trip2.php,"37.0000,35.3213",暂无,5
保罗第三次布道,1,安提阿(起点),Antioch,叙利亚的一个重要城市,保罗,教会差派保罗出发,,不详,不详,不详,徒18:23,https://bibleeveryone.com/paul-trip3.php,"37.0000,35.3213",暂无,5
保罗第三次布道,2,以弗所,Ephesus,小亚细亚西岸城市,保罗、亚居拉、百基拉,长时间传道，神迹奇事，许多人信主,,不详,不详,2年多,徒19:1-41,https://bibleeveryone.com/paul-trip3.php,"37.9395,27.3420",暂无,5
保罗第三次布道,3,腓立比(1次),Philippi,马其顿东部城市,保罗,坚固门徒,,不详,不详,不详,徒20:1-2,https://bibleeveryone.com/paul-trip3.php,"41.0082,24.2898",暂无,5
保罗第三次布道,4,帖撒罗尼迦(1次),Thessalonica,马其顿首都,保罗,坚固门徒,,不详,不详,不详,徒20:1-2,https://bibleeveryone.com/paul-trip3.php,"40.6401,22.9444",暂无,5
保罗第三次布道,5,庇哩亚(1次),Berea,马其顿中部城市,保罗,坚固门徒,,不详,不详,不详,徒20:1-2,https://bibleeveryone.com/paul-trip3.php,"40.6264,22.4516",暂无,5
保罗第三次布道,6,雅典(1次),Athens,希腊首都,保罗,坚固门徒,,不详,不详,不详,徒20:1-2,https://bibleeveryone.com/paul-trip3.php,"37.9838,23.7275",暂无,5
保罗第三次布道,7,哥林多,Corinth,希腊南部城市,保罗,坚固门徒,,不详,不详,3个月,徒20:2-3,https://bibleeveryone.com/paul-trip3.php,"37.9403,22.9533",暂无,5
保罗第三次布道,8,雅典(2次),Athens,希腊首都,保罗,坚固门徒,,不详,不详,不详,徒20:1-2,https://bibleeveryone.com/paul-trip3.php,"37.9838,23.7275",暂无,5
保罗第三次布道,9,庇哩亚(2次),Berea,马其顿中部城市,保罗,坚固门徒,,不详,不详,不详,徒20:1-2,https://bibleeveryone.com/paul-trip3.php,"40.6264,22.4516",暂无,5
保罗第三次布道,10,帖撒罗尼迦(2次),Thessalonica,马其顿首都,保罗,坚固门徒,,不详,不详,不详,徒20:1-2,https://bibleeveryone.com/paul-trip3.php,"40.6401,22.9444",暂无,5
保罗第三次布道,11,腓立比(2次),Philippi,马其顿东部城市,保罗,坚固门徒,,不详,不详,不详,徒20:1-2,https://bibleeveryone.com/paul-trip3.php,"41.0082,24.2898",暂无,5
保罗第三次布道,12,特罗亚,Troas,小亚细亚西海岸城市,保罗,讲道至深夜，尤推古复活,,不详,不详,7天,徒20:6-12,https://bibleeveryone.com/paul-trip3.php,"39.8300,26.6300",暂无,5
保罗第三次布道,13,亚朔,Assos,小亚细亚西岸城市,保罗,从特罗亚步行到亚朔,,不详,不详,不详,徒20:13-14,https://bibleeveryone.com/paul-trip3.php,"39.4894,26.3303",暂无,5
保罗第三次布道,14,米推立尼,Mitylene,莱斯博斯岛的一个城市,保罗,从亚朔乘船到米推立尼,,不详,不详,不详,徒20:14,https://bibleeveryone.com/paul-trip3.php,"39.1100,26.5547",暂无,5
保罗第三次布道,15,基阿,Chios,爱琴海中的一个岛屿,保罗,船行经过基阿,,不详,不详,不详,徒20:15,https://bibleeveryone.com/paul-trip3.php,"38.3678,26.1353",暂无,5
保罗第三次布道,16,撒摩,Samos,爱琴海中的一个岛屿,保罗,船行经过撒摩,,不详,不详,不详,徒20:15,https://bibleeveryone.com/paul-trip3.php,"37.7540,26.9770",暂无,5
保罗第三次布道,17,米利都,Miletus,小亚细亚西岸城市,保罗,与以弗所长老告别,,不详,不详,不详,徒20:17-38,https://bibleeveryone.com/paul-trip3.php,"37.5300,27.2700",暂无,5
保罗第三次布道,18,哥士,Cos,爱琴海中的一个岛屿,保罗,船行经过哥士,,不详,不详,不详,徒21:1,https://bibleeveryone.com/paul-trip3.php,"36.8900,27.2875",暂无,5
保罗第三次布道,19,罗底,Rhodes,爱琴海东南部的一个岛屿,保罗,船行经过罗底,,不详,不详,不详,徒21:1,https://bibleeveryone.com/paul-trip3.php,"36.4340,28.2176",暂无,5
保罗第三次布道,20,帕大喇,Patara,小亚细亚西南部的一个城市,保罗,船行经过帕大喇,,不详,不详,不详,徒21:1-2,https://bibleeveryone.com/paul-trip3.php,"36.2700,29.3167",暂无,5
保罗第三次布道,21,推罗,Tyre,腓尼基的一个港口城市,保罗,与门徒会面，得知前往耶路撒冷将面临困难,,不详,不详,7天,徒21:3-6,https://bibleeveryone.com/paul-trip3.php,"33.2708,35.2038",暂无,5
保罗第三次布道,22,多利买,Ptolemais,巴勒斯坦沿海城市,保罗,与弟兄们会面,,不详,不详,1天,徒21:7,https://bibleeveryone.com/paul-trip3.php,"32.9178,35.0818",暂无,5
保罗第三次布道,23,凯撒利亚,Caesarea,巴勒斯坦沿海城市,保罗、腓利,住在腓利家中，亚迦布预言保罗在耶路撒冷将被捆绑,,不详,不详,若干天,徒21:8-14,https://bibleeveryone.com/paul-trip3.php,"32.5000,34.8925",暂无,5
保罗第三次布道,24,耶路撒冷(终点),Jerusalem,犹太的主要城市,保罗,向教会报告传道工作，后被捕,,不详,不详,不详,徒21:15-23:35,https://bibleeveryone.com/paul-trip3.php,"31.7683,35.2137",暂无,5
保罗第四次布道行程(被囚行程),1,耶路撒冷(起点),Jerusalem,犹太的主要城市,保罗,被捕，受到审判,,不详,不详,不详,徒21:27-23:35,https://bibleeveryone.com/paul-trip4.php,"31.7683,35.2137",暂无,5
保罗第四次布道行程(被囚行程),2,安提帕底,Antipatris,古巴勒斯坦的一座城市,保罗、罗马士兵,护送保罗途中经过,,不详,不详,不详,徒23:31,https://bibleeveryone.com/paul-trip4.php,"32.1608,34.9534",暂无,5
保罗第四次布道行程(被囚行程),3,凯撒利亚,Caesarea,巴勒斯坦沿海城市,保罗、菲力斯,保罗在凯撒利亚被囚，向亚基帕王作见证,,不详,不详,不详,徒23:33-26:32,https://bibleeveryone.com/paul-trip4.php,"32.5000,34.8925",暂无,5
保罗第四次布道行程(被囚行程),4,西顿,Sidon,腓尼基的一个港口城市,保罗、百夫长犹流,保罗获许与朋友见面,,不详,不详,不详,徒27:3,https://bibleeveryone.com/paul-trip4.php,"33.5614,35.3756",暂无,5
保罗第四次布道行程(被囚行程),5,每拉,Myra,小亚细亚南部的一个城市,保罗、百夫长犹流,转乘亚历山大来的船,,不详,不详,不详,徒27:5-6,https://bibleeveryone.com/paul-trip4.php,"36.2500,29.9833",暂无,5
保罗第四次布道行程(被囚行程),6,革尼士,Cnidus,小亚细亚西南海岸的一个港口城市,保罗、百夫长犹流,船行经过革尼士,,不详,不详,不详,徒27:7,https://bibleeveryone.com/paul-trip4.php,"36.6863,27.3683",暂无,5
保罗第四次布道行程(被囚行程),7,佳澳,Fair Havens,克里特岛的一个港口,保罗、百夫长犹流,保罗建议冬天停留,,不详,不详,不详,徒27:8-12,https://bibleeveryone.com/paul-trip4.php,"34.9461,24.7744",暂无,5
保罗第四次布道行程(被囚行程),8,高大,Clauda,克里特岛南部的一个小岛,保罗、百夫长犹流,在风暴中经过,,不详,不详,不详,徒27:16,https://bibleeveryone.com/paul-trip4.php,"34.8553,24.0832",暂无,5
保罗第四次布道行程(被囚行程),9,马耳他,Malta,地中海中部的一个岛,保罗、百夫长犹流,遭遇船难，保罗治病救人,,不详,不详,3个月,徒27:27-28:10,https://bibleeveryone.com/paul-trip4.php,"35.9375,14.3754",暂无,5
保罗第四次布道行程(被囚行程),10,叙拉古,Syracuse,西西里岛东岸的一个城市,保罗、百夫长犹流,短暂停留后继续航行,,不详,不详,3天,徒28:12,https://bibleeveryone.com/paul-trip4.php,"37.0656,15.2906",暂无,5
保罗第四次布道行程(被囚行程),11,利基翁,Rhegium,意大利南部的一个城市,保罗、百夫长犹流,短暂停留后继续航行,,不详,不详,1天,徒28:13,https://bibleeveryone.com/paul-trip4.php,"38.1105,15.6613",暂无,5
保罗第四次布道行程(被囚行程),12,部丢利,Puteoli,意大利西南部的一个港口城市,保罗、百夫长犹流,会见弟兄们，受到接待,,不详,不详,7天,徒28:13-14,https://bibleeveryone.com/paul-trip4.php,"40.8333,14.2000",暂无,5
保罗第四次布道行程(被囚行程),13,亚比乌,Appii Forum,意大利的一座城镇,保罗,罗马基督徒前来迎接保罗,,不详,不详,不详,徒28:15,https://bibleeveryone.com/paul-trip4.php,"41.6500,13.7500",暂无,5
保罗第四次布道行程(被囚行程),14,三馆,Three Taverns,意大利的一个地点,保罗,罗马基督徒前来迎接保罗,,不详,不详,不详,徒28:15,https://bibleeveryone.com/paul-trip4.php,"41.7172,12.6998",暂无,5
保罗第四次布道行程(被囚行程),15,罗马(终点),Rome,意大利的首都,保罗,软禁在家中，向来访者传道,,不详,不详,2年,徒28:16-31,https://bibleeveryone.com/paul-trip4.php,"41.9028,12.4964",暂无,5
